"causeid","cause.of.death","icd10"
95,"All other diseases (Residual)","E04"
95,"All other diseases (Residual)","E05"
95,"All other diseases (Residual)","E06"
95,"All other diseases (Residual)","E07"
95,"All other diseases (Residual)","E08"
95,"All other diseases (Residual)","E09"
95,"All other diseases (Residual)","E15"
95,"All other diseases (Residual)","E16"
95,"All other diseases (Residual)","E17"
95,"All other diseases (Residual)","E18"
95,"All other diseases (Residual)","E19"
95,"All other diseases (Residual)","E20"
95,"All other diseases (Residual)","E21"
95,"All other diseases (Residual)","E22"
95,"All other diseases (Residual)","E23"
95,"All other diseases (Residual)","E24"
95,"All other diseases (Residual)","E25"
95,"All other diseases (Residual)","E26"
95,"All other diseases (Residual)","E27"
95,"All other diseases (Residual)","E28"
95,"All other diseases (Residual)","E29"
95,"All other diseases (Residual)","E30"
95,"All other diseases (Residual)","E31"
95,"All other diseases (Residual)","E32"
95,"All other diseases (Residual)","E33"
95,"All other diseases (Residual)","E34"
95,"All other diseases (Residual)","E35"
95,"All other diseases (Residual)","E36"
95,"All other diseases (Residual)","E37"
95,"All other diseases (Residual)","E38"
95,"All other diseases (Residual)","E39"
95,"All other diseases (Residual)","E65"
95,"All other diseases (Residual)","E66"
95,"All other diseases (Residual)","E67"
95,"All other diseases (Residual)","E68"
95,"All other diseases (Residual)","E69"
95,"All other diseases (Residual)","E70"
95,"All other diseases (Residual)","E71"
95,"All other diseases (Residual)","E72"
95,"All other diseases (Residual)","E73"
95,"All other diseases (Residual)","E74"
95,"All other diseases (Residual)","E75"
95,"All other diseases (Residual)","E76"
95,"All other diseases (Residual)","E77"
95,"All other diseases (Residual)","E78"
95,"All other diseases (Residual)","E79"
95,"All other diseases (Residual)","E80"
95,"All other diseases (Residual)","E81"
95,"All other diseases (Residual)","E82"
95,"All other diseases (Residual)","E83"
95,"All other diseases (Residual)","E84"
95,"All other diseases (Residual)","E85"
95,"All other diseases (Residual)","E86"
95,"All other diseases (Residual)","E87"
95,"All other diseases (Residual)","E88"
95,"All other diseases (Residual)","E89"
95,"All other diseases (Residual)","E90"
95,"All other diseases (Residual)","E91"
95,"All other diseases (Residual)","E92"
95,"All other diseases (Residual)","E93"
95,"All other diseases (Residual)","E94"
95,"All other diseases (Residual)","E95"
95,"All other diseases (Residual)","E96"
95,"All other diseases (Residual)","E97"
95,"All other diseases (Residual)","E98"
95,"All other diseases (Residual)","E99"
95,"All other diseases (Residual)","F00"
95,"All other diseases (Residual)","F01"
95,"All other diseases (Residual)","F02"
95,"All other diseases (Residual)","F03"
95,"All other diseases (Residual)","F04"
95,"All other diseases (Residual)","F05"
95,"All other diseases (Residual)","F06"
95,"All other diseases (Residual)","F07"
95,"All other diseases (Residual)","F08"
95,"All other diseases (Residual)","F09"
95,"All other diseases (Residual)","F10"
95,"All other diseases (Residual)","F11"
95,"All other diseases (Residual)","F12"
95,"All other diseases (Residual)","F13"
95,"All other diseases (Residual)","F14"
95,"All other diseases (Residual)","F15"
95,"All other diseases (Residual)","F16"
95,"All other diseases (Residual)","F17"
95,"All other diseases (Residual)","F18"
95,"All other diseases (Residual)","F19"
95,"All other diseases (Residual)","F20"
95,"All other diseases (Residual)","F21"
95,"All other diseases (Residual)","F22"
95,"All other diseases (Residual)","F23"
95,"All other diseases (Residual)","F24"
95,"All other diseases (Residual)","F25"
95,"All other diseases (Residual)","F26"
95,"All other diseases (Residual)","F27"
95,"All other diseases (Residual)","F28"
95,"All other diseases (Residual)","F29"
95,"All other diseases (Residual)","F30"
95,"All other diseases (Residual)","F31"
95,"All other diseases (Residual)","F32"
95,"All other diseases (Residual)","F33"
95,"All other diseases (Residual)","F34"
95,"All other diseases (Residual)","F35"
95,"All other diseases (Residual)","F36"
95,"All other diseases (Residual)","F37"
95,"All other diseases (Residual)","F38"
95,"All other diseases (Residual)","F39"
95,"All other diseases (Residual)","F40"
95,"All other diseases (Residual)","F41"
95,"All other diseases (Residual)","F42"
95,"All other diseases (Residual)","F43"
95,"All other diseases (Residual)","F44"
95,"All other diseases (Residual)","F45"
95,"All other diseases (Residual)","F46"
95,"All other diseases (Residual)","F47"
95,"All other diseases (Residual)","F48"
95,"All other diseases (Residual)","F49"
95,"All other diseases (Residual)","F50"
95,"All other diseases (Residual)","F51"
95,"All other diseases (Residual)","F52"
95,"All other diseases (Residual)","F53"
95,"All other diseases (Residual)","F54"
95,"All other diseases (Residual)","F55"
95,"All other diseases (Residual)","F56"
95,"All other diseases (Residual)","F57"
95,"All other diseases (Residual)","F58"
95,"All other diseases (Residual)","F59"
95,"All other diseases (Residual)","F60"
95,"All other diseases (Residual)","F61"
95,"All other diseases (Residual)","F62"
95,"All other diseases (Residual)","F63"
95,"All other diseases (Residual)","F64"
95,"All other diseases (Residual)","F65"
95,"All other diseases (Residual)","F66"
95,"All other diseases (Residual)","F67"
95,"All other diseases (Residual)","F68"
95,"All other diseases (Residual)","F69"
95,"All other diseases (Residual)","F70"
95,"All other diseases (Residual)","F71"
95,"All other diseases (Residual)","F72"
95,"All other diseases (Residual)","F73"
95,"All other diseases (Residual)","F74"
95,"All other diseases (Residual)","F75"
95,"All other diseases (Residual)","F76"
95,"All other diseases (Residual)","F77"
95,"All other diseases (Residual)","F78"
95,"All other diseases (Residual)","F79"
95,"All other diseases (Residual)","F80"
95,"All other diseases (Residual)","F81"
95,"All other diseases (Residual)","F82"
95,"All other diseases (Residual)","F83"
95,"All other diseases (Residual)","F84"
95,"All other diseases (Residual)","F85"
95,"All other diseases (Residual)","F86"
95,"All other diseases (Residual)","F87"
95,"All other diseases (Residual)","F88"
95,"All other diseases (Residual)","F89"
95,"All other diseases (Residual)","F90"
95,"All other diseases (Residual)","F91"
95,"All other diseases (Residual)","F92"
95,"All other diseases (Residual)","F93"
95,"All other diseases (Residual)","F94"
95,"All other diseases (Residual)","F95"
95,"All other diseases (Residual)","F96"
95,"All other diseases (Residual)","F97"
95,"All other diseases (Residual)","F98"
95,"All other diseases (Residual)","F99"
95,"All other diseases (Residual)","G01"
95,"All other diseases (Residual)","G02"
95,"All other diseases (Residual)","G04"
95,"All other diseases (Residual)","G05"
95,"All other diseases (Residual)","G06"
95,"All other diseases (Residual)","G07"
95,"All other diseases (Residual)","G08"
95,"All other diseases (Residual)","G09"
95,"All other diseases (Residual)","G10"
95,"All other diseases (Residual)","G11"
95,"All other diseases (Residual)","G12"
95,"All other diseases (Residual)","G13"
95,"All other diseases (Residual)","G14"
95,"All other diseases (Residual)","G15"
95,"All other diseases (Residual)","G16"
95,"All other diseases (Residual)","G17"
95,"All other diseases (Residual)","G18"
95,"All other diseases (Residual)","G19"
95,"All other diseases (Residual)","G22"
95,"All other diseases (Residual)","G23"
95,"All other diseases (Residual)","G24"
95,"All other diseases (Residual)","G25"
95,"All other diseases (Residual)","G26"
95,"All other diseases (Residual)","G27"
95,"All other diseases (Residual)","G28"
95,"All other diseases (Residual)","G29"
95,"All other diseases (Residual)","G31"
95,"All other diseases (Residual)","G32"
95,"All other diseases (Residual)","G33"
95,"All other diseases (Residual)","G34"
95,"All other diseases (Residual)","G35"
95,"All other diseases (Residual)","G36"
95,"All other diseases (Residual)","G37"
95,"All other diseases (Residual)","G38"
95,"All other diseases (Residual)","G39"
95,"All other diseases (Residual)","G40"
95,"All other diseases (Residual)","G41"
95,"All other diseases (Residual)","G42"
95,"All other diseases (Residual)","G43"
95,"All other diseases (Residual)","G44"
95,"All other diseases (Residual)","G45"
95,"All other diseases (Residual)","G46"
95,"All other diseases (Residual)","G47"
95,"All other diseases (Residual)","G48"
95,"All other diseases (Residual)","G49"
95,"All other diseases (Residual)","G50"
95,"All other diseases (Residual)","G51"
95,"All other diseases (Residual)","G52"
95,"All other diseases (Residual)","G53"
95,"All other diseases (Residual)","G54"
95,"All other diseases (Residual)","G55"
95,"All other diseases (Residual)","G56"
95,"All other diseases (Residual)","G57"
95,"All other diseases (Residual)","G58"
95,"All other diseases (Residual)","G59"
95,"All other diseases (Residual)","G60"
95,"All other diseases (Residual)","G61"
95,"All other diseases (Residual)","G62"
95,"All other diseases (Residual)","G63"
95,"All other diseases (Residual)","G64"
95,"All other diseases (Residual)","G65"
95,"All other diseases (Residual)","G66"
95,"All other diseases (Residual)","G67"
95,"All other diseases (Residual)","G68"
95,"All other diseases (Residual)","G69"
95,"All other diseases (Residual)","G70"
95,"All other diseases (Residual)","G71"
95,"All other diseases (Residual)","G72"
95,"All other diseases (Residual)","G73"
95,"All other diseases (Residual)","G74"
95,"All other diseases (Residual)","G75"
95,"All other diseases (Residual)","G76"
95,"All other diseases (Residual)","G77"
95,"All other diseases (Residual)","G78"
95,"All other diseases (Residual)","G79"
95,"All other diseases (Residual)","G80"
95,"All other diseases (Residual)","G81"
95,"All other diseases (Residual)","G82"
95,"All other diseases (Residual)","G83"
95,"All other diseases (Residual)","G84"
95,"All other diseases (Residual)","G85"
95,"All other diseases (Residual)","G86"
95,"All other diseases (Residual)","G87"
95,"All other diseases (Residual)","G88"
95,"All other diseases (Residual)","G89"
95,"All other diseases (Residual)","G90"
95,"All other diseases (Residual)","G91"
95,"All other diseases (Residual)","G92"
95,"All other diseases (Residual)","G93"
95,"All other diseases (Residual)","G94"
95,"All other diseases (Residual)","G95"
95,"All other diseases (Residual)","G96"
95,"All other diseases (Residual)","G97"
95,"All other diseases (Residual)","G98"
95,"All other diseases (Residual)","G99"
95,"All other diseases (Residual)","H00"
95,"All other diseases (Residual)","H01"
95,"All other diseases (Residual)","H02"
95,"All other diseases (Residual)","H03"
95,"All other diseases (Residual)","H04"
95,"All other diseases (Residual)","H05"
95,"All other diseases (Residual)","H06"
95,"All other diseases (Residual)","H07"
95,"All other diseases (Residual)","H08"
95,"All other diseases (Residual)","H09"
95,"All other diseases (Residual)","H10"
95,"All other diseases (Residual)","H11"
95,"All other diseases (Residual)","H12"
95,"All other diseases (Residual)","H13"
95,"All other diseases (Residual)","H14"
95,"All other diseases (Residual)","H15"
95,"All other diseases (Residual)","H16"
95,"All other diseases (Residual)","H17"
95,"All other diseases (Residual)","H18"
95,"All other diseases (Residual)","H19"
95,"All other diseases (Residual)","H20"
95,"All other diseases (Residual)","H21"
95,"All other diseases (Residual)","H22"
95,"All other diseases (Residual)","H23"
95,"All other diseases (Residual)","H24"
95,"All other diseases (Residual)","H25"
95,"All other diseases (Residual)","H26"
95,"All other diseases (Residual)","H27"
95,"All other diseases (Residual)","H28"
95,"All other diseases (Residual)","H29"
95,"All other diseases (Residual)","H30"
95,"All other diseases (Residual)","H31"
95,"All other diseases (Residual)","H32"
95,"All other diseases (Residual)","H33"
95,"All other diseases (Residual)","H34"
95,"All other diseases (Residual)","H35"
95,"All other diseases (Residual)","H36"
95,"All other diseases (Residual)","H37"
95,"All other diseases (Residual)","H38"
95,"All other diseases (Residual)","H39"
95,"All other diseases (Residual)","H40"
95,"All other diseases (Residual)","H41"
95,"All other diseases (Residual)","H42"
95,"All other diseases (Residual)","H43"
95,"All other diseases (Residual)","H44"
95,"All other diseases (Residual)","H45"
95,"All other diseases (Residual)","H46"
95,"All other diseases (Residual)","H47"
95,"All other diseases (Residual)","H48"
95,"All other diseases (Residual)","H49"
95,"All other diseases (Residual)","H50"
95,"All other diseases (Residual)","H51"
95,"All other diseases (Residual)","H52"
95,"All other diseases (Residual)","H53"
95,"All other diseases (Residual)","H54"
95,"All other diseases (Residual)","H55"
95,"All other diseases (Residual)","H56"
95,"All other diseases (Residual)","H57"
95,"All other diseases (Residual)","H58"
95,"All other diseases (Residual)","H59"
95,"All other diseases (Residual)","H60"
95,"All other diseases (Residual)","H61"
95,"All other diseases (Residual)","H62"
95,"All other diseases (Residual)","H63"
95,"All other diseases (Residual)","H64"
95,"All other diseases (Residual)","H65"
95,"All other diseases (Residual)","H66"
95,"All other diseases (Residual)","H67"
95,"All other diseases (Residual)","H68"
95,"All other diseases (Residual)","H69"
95,"All other diseases (Residual)","H70"
95,"All other diseases (Residual)","H71"
95,"All other diseases (Residual)","H72"
95,"All other diseases (Residual)","H73"
95,"All other diseases (Residual)","H74"
95,"All other diseases (Residual)","H75"
95,"All other diseases (Residual)","H76"
95,"All other diseases (Residual)","H77"
95,"All other diseases (Residual)","H78"
95,"All other diseases (Residual)","H79"
95,"All other diseases (Residual)","H80"
95,"All other diseases (Residual)","H81"
95,"All other diseases (Residual)","H82"
95,"All other diseases (Residual)","H83"
95,"All other diseases (Residual)","H84"
95,"All other diseases (Residual)","H85"
95,"All other diseases (Residual)","H86"
95,"All other diseases (Residual)","H87"
95,"All other diseases (Residual)","H88"
95,"All other diseases (Residual)","H89"
95,"All other diseases (Residual)","H90"
95,"All other diseases (Residual)","H91"
95,"All other diseases (Residual)","H92"
95,"All other diseases (Residual)","H93"
95,"All other diseases (Residual)","H94"
95,"All other diseases (Residual)","H95"
95,"All other diseases (Residual)","H96"
95,"All other diseases (Residual)","H97"
95,"All other diseases (Residual)","H98"
95,"All other diseases (Residual)","H99"
95,"All other diseases (Residual)","K00"
95,"All other diseases (Residual)","K01"
95,"All other diseases (Residual)","K02"
95,"All other diseases (Residual)","K03"
95,"All other diseases (Residual)","K04"
95,"All other diseases (Residual)","K05"
95,"All other diseases (Residual)","K06"
95,"All other diseases (Residual)","K07"
95,"All other diseases (Residual)","K08"
95,"All other diseases (Residual)","K09"
95,"All other diseases (Residual)","K10"
95,"All other diseases (Residual)","K11"
95,"All other diseases (Residual)","K12"
95,"All other diseases (Residual)","K13"
95,"All other diseases (Residual)","K14"
95,"All other diseases (Residual)","K15"
95,"All other diseases (Residual)","K16"
95,"All other diseases (Residual)","K17"
95,"All other diseases (Residual)","K18"
95,"All other diseases (Residual)","K19"
95,"All other diseases (Residual)","K20"
95,"All other diseases (Residual)","K21"
95,"All other diseases (Residual)","K22"
95,"All other diseases (Residual)","K23"
95,"All other diseases (Residual)","K24"
95,"All other diseases (Residual)","K29"
95,"All other diseases (Residual)","K30"
95,"All other diseases (Residual)","K31"
95,"All other diseases (Residual)","K32"
95,"All other diseases (Residual)","K33"
95,"All other diseases (Residual)","K34"
95,"All other diseases (Residual)","K47"
95,"All other diseases (Residual)","K48"
95,"All other diseases (Residual)","K49"
95,"All other diseases (Residual)","K50"
95,"All other diseases (Residual)","K51"
95,"All other diseases (Residual)","K52"
95,"All other diseases (Residual)","K53"
95,"All other diseases (Residual)","K54"
95,"All other diseases (Residual)","K55"
95,"All other diseases (Residual)","K56"
95,"All other diseases (Residual)","K57"
95,"All other diseases (Residual)","K58"
95,"All other diseases (Residual)","K59"
95,"All other diseases (Residual)","K60"
95,"All other diseases (Residual)","K61"
95,"All other diseases (Residual)","K62"
95,"All other diseases (Residual)","K63"
95,"All other diseases (Residual)","K64"
95,"All other diseases (Residual)","K65"
95,"All other diseases (Residual)","K66"
95,"All other diseases (Residual)","K67"
95,"All other diseases (Residual)","K68"
95,"All other diseases (Residual)","K69"
95,"All other diseases (Residual)","K71"
95,"All other diseases (Residual)","K72"
95,"All other diseases (Residual)","K75"
95,"All other diseases (Residual)","K76"
95,"All other diseases (Residual)","K77"
95,"All other diseases (Residual)","K78"
95,"All other diseases (Residual)","K79"
95,"All other diseases (Residual)","K83"
95,"All other diseases (Residual)","K84"
95,"All other diseases (Residual)","K85"
95,"All other diseases (Residual)","K86"
95,"All other diseases (Residual)","K87"
95,"All other diseases (Residual)","K88"
95,"All other diseases (Residual)","K89"
95,"All other diseases (Residual)","K90"
95,"All other diseases (Residual)","K91"
95,"All other diseases (Residual)","K92"
95,"All other diseases (Residual)","K93"
95,"All other diseases (Residual)","K94"
95,"All other diseases (Residual)","K95"
95,"All other diseases (Residual)","K96"
95,"All other diseases (Residual)","K97"
95,"All other diseases (Residual)","K98"
95,"All other diseases (Residual)","K99"
95,"All other diseases (Residual)","L00"
95,"All other diseases (Residual)","L01"
95,"All other diseases (Residual)","L02"
95,"All other diseases (Residual)","L03"
95,"All other diseases (Residual)","L04"
95,"All other diseases (Residual)","L05"
95,"All other diseases (Residual)","L06"
95,"All other diseases (Residual)","L07"
95,"All other diseases (Residual)","L08"
95,"All other diseases (Residual)","L09"
95,"All other diseases (Residual)","L10"
95,"All other diseases (Residual)","L11"
95,"All other diseases (Residual)","L12"
95,"All other diseases (Residual)","L13"
95,"All other diseases (Residual)","L14"
95,"All other diseases (Residual)","L15"
95,"All other diseases (Residual)","L16"
95,"All other diseases (Residual)","L17"
95,"All other diseases (Residual)","L18"
95,"All other diseases (Residual)","L19"
95,"All other diseases (Residual)","L20"
95,"All other diseases (Residual)","L21"
95,"All other diseases (Residual)","L22"
95,"All other diseases (Residual)","L23"
95,"All other diseases (Residual)","L24"
95,"All other diseases (Residual)","L25"
95,"All other diseases (Residual)","L26"
95,"All other diseases (Residual)","L27"
95,"All other diseases (Residual)","L28"
95,"All other diseases (Residual)","L29"
95,"All other diseases (Residual)","L30"
95,"All other diseases (Residual)","L31"
95,"All other diseases (Residual)","L32"
95,"All other diseases (Residual)","L33"
95,"All other diseases (Residual)","L34"
95,"All other diseases (Residual)","L35"
95,"All other diseases (Residual)","L36"
95,"All other diseases (Residual)","L37"
95,"All other diseases (Residual)","L38"
95,"All other diseases (Residual)","L39"
95,"All other diseases (Residual)","L40"
95,"All other diseases (Residual)","L41"
95,"All other diseases (Residual)","L42"
95,"All other diseases (Residual)","L43"
95,"All other diseases (Residual)","L44"
95,"All other diseases (Residual)","L45"
95,"All other diseases (Residual)","L46"
95,"All other diseases (Residual)","L47"
95,"All other diseases (Residual)","L48"
95,"All other diseases (Residual)","L49"
95,"All other diseases (Residual)","L50"
95,"All other diseases (Residual)","L51"
95,"All other diseases (Residual)","L52"
95,"All other diseases (Residual)","L53"
95,"All other diseases (Residual)","L54"
95,"All other diseases (Residual)","L55"
95,"All other diseases (Residual)","L56"
95,"All other diseases (Residual)","L57"
95,"All other diseases (Residual)","L58"
95,"All other diseases (Residual)","L59"
95,"All other diseases (Residual)","L60"
95,"All other diseases (Residual)","L61"
95,"All other diseases (Residual)","L62"
95,"All other diseases (Residual)","L63"
95,"All other diseases (Residual)","L64"
95,"All other diseases (Residual)","L65"
95,"All other diseases (Residual)","L66"
95,"All other diseases (Residual)","L67"
95,"All other diseases (Residual)","L68"
95,"All other diseases (Residual)","L69"
95,"All other diseases (Residual)","L70"
95,"All other diseases (Residual)","L71"
95,"All other diseases (Residual)","L72"
95,"All other diseases (Residual)","L73"
95,"All other diseases (Residual)","L74"
95,"All other diseases (Residual)","L75"
95,"All other diseases (Residual)","L76"
95,"All other diseases (Residual)","L77"
95,"All other diseases (Residual)","L78"
95,"All other diseases (Residual)","L79"
95,"All other diseases (Residual)","L80"
95,"All other diseases (Residual)","L81"
95,"All other diseases (Residual)","L82"
95,"All other diseases (Residual)","L83"
95,"All other diseases (Residual)","L84"
95,"All other diseases (Residual)","L85"
95,"All other diseases (Residual)","L86"
95,"All other diseases (Residual)","L87"
95,"All other diseases (Residual)","L88"
95,"All other diseases (Residual)","L89"
95,"All other diseases (Residual)","L90"
95,"All other diseases (Residual)","L91"
95,"All other diseases (Residual)","L92"
95,"All other diseases (Residual)","L93"
95,"All other diseases (Residual)","L94"
95,"All other diseases (Residual)","L95"
95,"All other diseases (Residual)","L96"
95,"All other diseases (Residual)","L97"
95,"All other diseases (Residual)","L98"
95,"All other diseases (Residual)","L99"
95,"All other diseases (Residual)","M00"
95,"All other diseases (Residual)","M01"
95,"All other diseases (Residual)","M02"
95,"All other diseases (Residual)","M03"
95,"All other diseases (Residual)","M04"
95,"All other diseases (Residual)","M05"
95,"All other diseases (Residual)","M06"
95,"All other diseases (Residual)","M07"
95,"All other diseases (Residual)","M08"
95,"All other diseases (Residual)","M09"
95,"All other diseases (Residual)","M10"
95,"All other diseases (Residual)","M11"
95,"All other diseases (Residual)","M12"
95,"All other diseases (Residual)","M13"
95,"All other diseases (Residual)","M14"
95,"All other diseases (Residual)","M15"
95,"All other diseases (Residual)","M16"
95,"All other diseases (Residual)","M17"
95,"All other diseases (Residual)","M18"
95,"All other diseases (Residual)","M19"
95,"All other diseases (Residual)","M20"
95,"All other diseases (Residual)","M21"
95,"All other diseases (Residual)","M22"
95,"All other diseases (Residual)","M23"
95,"All other diseases (Residual)","M24"
95,"All other diseases (Residual)","M25"
95,"All other diseases (Residual)","M26"
95,"All other diseases (Residual)","M27"
95,"All other diseases (Residual)","M28"
95,"All other diseases (Residual)","M29"
95,"All other diseases (Residual)","M30"
95,"All other diseases (Residual)","M31"
95,"All other diseases (Residual)","M32"
95,"All other diseases (Residual)","M33"
95,"All other diseases (Residual)","M34"
95,"All other diseases (Residual)","M35"
95,"All other diseases (Residual)","M36"
95,"All other diseases (Residual)","M37"
95,"All other diseases (Residual)","M38"
95,"All other diseases (Residual)","M39"
95,"All other diseases (Residual)","M40"
95,"All other diseases (Residual)","M41"
95,"All other diseases (Residual)","M42"
95,"All other diseases (Residual)","M43"
95,"All other diseases (Residual)","M44"
95,"All other diseases (Residual)","M45"
95,"All other diseases (Residual)","M46"
95,"All other diseases (Residual)","M47"
95,"All other diseases (Residual)","M48"
95,"All other diseases (Residual)","M49"
95,"All other diseases (Residual)","M50"
95,"All other diseases (Residual)","M51"
95,"All other diseases (Residual)","M52"
95,"All other diseases (Residual)","M53"
95,"All other diseases (Residual)","M54"
95,"All other diseases (Residual)","M55"
95,"All other diseases (Residual)","M56"
95,"All other diseases (Residual)","M57"
95,"All other diseases (Residual)","M58"
95,"All other diseases (Residual)","M59"
95,"All other diseases (Residual)","M60"
95,"All other diseases (Residual)","M61"
95,"All other diseases (Residual)","M62"
95,"All other diseases (Residual)","M63"
95,"All other diseases (Residual)","M64"
95,"All other diseases (Residual)","M65"
95,"All other diseases (Residual)","M66"
95,"All other diseases (Residual)","M67"
95,"All other diseases (Residual)","M68"
95,"All other diseases (Residual)","M69"
95,"All other diseases (Residual)","M70"
95,"All other diseases (Residual)","M71"
95,"All other diseases (Residual)","M72"
95,"All other diseases (Residual)","M73"
95,"All other diseases (Residual)","M74"
95,"All other diseases (Residual)","M75"
95,"All other diseases (Residual)","M76"
95,"All other diseases (Residual)","M77"
95,"All other diseases (Residual)","M78"
95,"All other diseases (Residual)","M79"
95,"All other diseases (Residual)","M80"
95,"All other diseases (Residual)","M81"
95,"All other diseases (Residual)","M82"
95,"All other diseases (Residual)","M83"
95,"All other diseases (Residual)","M84"
95,"All other diseases (Residual)","M85"
95,"All other diseases (Residual)","M86"
95,"All other diseases (Residual)","M87"
95,"All other diseases (Residual)","M88"
95,"All other diseases (Residual)","M89"
95,"All other diseases (Residual)","M90"
95,"All other diseases (Residual)","M91"
95,"All other diseases (Residual)","M92"
95,"All other diseases (Residual)","M93"
95,"All other diseases (Residual)","M94"
95,"All other diseases (Residual)","M95"
95,"All other diseases (Residual)","M96"
95,"All other diseases (Residual)","M97"
95,"All other diseases (Residual)","M98"
95,"All other diseases (Residual)","M99"
95,"All other diseases (Residual)","N014"
95,"All other diseases (Residual)","N08"
95,"All other diseases (Residual)","N09"
95,"All other diseases (Residual)","N130"
95,"All other diseases (Residual)","N131"
95,"All other diseases (Residual)","N132"
95,"All other diseases (Residual)","N133"
95,"All other diseases (Residual)","N134"
95,"All other diseases (Residual)","N135"
95,"All other diseases (Residual)","N137"
95,"All other diseases (Residual)","N138"
95,"All other diseases (Residual)","N139"
95,"All other diseases (Residual)","N151"
95,"All other diseases (Residual)","N152"
95,"All other diseases (Residual)","N153"
95,"All other diseases (Residual)","N154"
95,"All other diseases (Residual)","N155"
95,"All other diseases (Residual)","N156"
95,"All other diseases (Residual)","N157"
95,"All other diseases (Residual)","N158"
95,"All other diseases (Residual)","N159"
95,"All other diseases (Residual)","N16"
95,"All other diseases (Residual)","N20"
95,"All other diseases (Residual)","N21"
95,"All other diseases (Residual)","N22"
95,"All other diseases (Residual)","N23"
95,"All other diseases (Residual)","N24"
95,"All other diseases (Residual)","N28"
95,"All other diseases (Residual)","N29"
95,"All other diseases (Residual)","N30"
95,"All other diseases (Residual)","N31"
95,"All other diseases (Residual)","N32"
95,"All other diseases (Residual)","N33"
95,"All other diseases (Residual)","N34"
95,"All other diseases (Residual)","N35"
95,"All other diseases (Residual)","N36"
95,"All other diseases (Residual)","N37"
95,"All other diseases (Residual)","N38"
95,"All other diseases (Residual)","N39"
95,"All other diseases (Residual)","N41"
95,"All other diseases (Residual)","N42"
95,"All other diseases (Residual)","N43"
95,"All other diseases (Residual)","N44"
95,"All other diseases (Residual)","N45"
95,"All other diseases (Residual)","N46"
95,"All other diseases (Residual)","N47"
95,"All other diseases (Residual)","N48"
95,"All other diseases (Residual)","N49"
95,"All other diseases (Residual)","N50"
95,"All other diseases (Residual)","N51"
95,"All other diseases (Residual)","N52"
95,"All other diseases (Residual)","N53"
95,"All other diseases (Residual)","N54"
95,"All other diseases (Residual)","N55"
95,"All other diseases (Residual)","N56"
95,"All other diseases (Residual)","N57"
95,"All other diseases (Residual)","N58"
95,"All other diseases (Residual)","N59"
95,"All other diseases (Residual)","N60"
95,"All other diseases (Residual)","N61"
95,"All other diseases (Residual)","N62"
95,"All other diseases (Residual)","N63"
95,"All other diseases (Residual)","N64"
95,"All other diseases (Residual)","N65"
95,"All other diseases (Residual)","N66"
95,"All other diseases (Residual)","N67"
95,"All other diseases (Residual)","N68"
95,"All other diseases (Residual)","N69"
95,"All other diseases (Residual)","N77"
95,"All other diseases (Residual)","N78"
95,"All other diseases (Residual)","N79"
95,"All other diseases (Residual)","N80"
95,"All other diseases (Residual)","N81"
95,"All other diseases (Residual)","N82"
95,"All other diseases (Residual)","N83"
95,"All other diseases (Residual)","N84"
95,"All other diseases (Residual)","N85"
95,"All other diseases (Residual)","N86"
95,"All other diseases (Residual)","N87"
95,"All other diseases (Residual)","N88"
95,"All other diseases (Residual)","N89"
95,"All other diseases (Residual)","N90"
95,"All other diseases (Residual)","N91"
95,"All other diseases (Residual)","N92"
95,"All other diseases (Residual)","N93"
95,"All other diseases (Residual)","N94"
95,"All other diseases (Residual)","N95"
95,"All other diseases (Residual)","N96"
95,"All other diseases (Residual)","N97"
95,"All other diseases (Residual)","N98"
95,"All other diseases (Residual)","N99"
95,"All other diseases (Residual)","O08"
95,"All other diseases (Residual)","O09"
96,"Motor vehicle crash","V02"
96,"Motor vehicle crash","V03"
96,"Motor vehicle crash","V04"
96,"Motor vehicle crash","V090"
96,"Motor vehicle crash","V092"
96,"Motor vehicle crash","V12"
96,"Motor vehicle crash","V13"
96,"Motor vehicle crash","V14"
96,"Motor vehicle crash","V190"
96,"Motor vehicle crash","V191"
96,"Motor vehicle crash","V192"
96,"Motor vehicle crash","V194"
96,"Motor vehicle crash","V195"
96,"Motor vehicle crash","V196"
96,"Motor vehicle crash","V20"
96,"Motor vehicle crash","V21"
96,"Motor vehicle crash","V22"
96,"Motor vehicle crash","V23"
96,"Motor vehicle crash","V24"
96,"Motor vehicle crash","V25"
96,"Motor vehicle crash","V26"
96,"Motor vehicle crash","V27"
96,"Motor vehicle crash","V28"
96,"Motor vehicle crash","V29"
96,"Motor vehicle crash","V30"
96,"Motor vehicle crash","V31"
96,"Motor vehicle crash","V32"
96,"Motor vehicle crash","V33"
96,"Motor vehicle crash","V34"
96,"Motor vehicle crash","V35"
96,"Motor vehicle crash","V36"
96,"Motor vehicle crash","V37"
96,"Motor vehicle crash","V38"
96,"Motor vehicle crash","V39"
96,"Motor vehicle crash","V40"
96,"Motor vehicle crash","V41"
96,"Motor vehicle crash","V42"
96,"Motor vehicle crash","V43"
96,"Motor vehicle crash","V44"
96,"Motor vehicle crash","V45"
96,"Motor vehicle crash","V46"
96,"Motor vehicle crash","V47"
96,"Motor vehicle crash","V48"
96,"Motor vehicle crash","V49"
96,"Motor vehicle crash","V50"
96,"Motor vehicle crash","V51"
96,"Motor vehicle crash","V52"
