"group","code","major","minor","broad","detailed","title","major.title","minor.title","broad.title","detailed.title","notes","uploaded"
"Detailed","39-3099","39-0000","39-3000","39-3090","39-3099","Entertainment Attendants and Related Workers, All Other","Personal Care and Service Occupations","Entertainment Attendants and Related Workers","Miscellaneous Entertainment Attendants and Related Workers","Entertainment Attendants and Related Workers, All Other",NA,2022-02-02
"Minor","39-4000","39-0000","39-4000",NA,NA,"Funeral Service Workers","Personal Care and Service Occupations","Funeral Service Workers",NA,NA,NA,2022-02-02
"Broad","39-4010","39-0000","39-4000","39-4010",NA,"Embalmers","Personal Care and Service Occupations","Funeral Service Workers","Embalmers",NA,NA,2022-02-02
"Detailed","39-4011","39-0000","39-4000","39-4010","39-4011","Embalmers","Personal Care and Service Occupations","Funeral Service Workers","Embalmers","Embalmers",NA,2022-02-02
"Broad","39-4020","39-0000","39-4000","39-4020",NA,"Funeral Attendants","Personal Care and Service Occupations","Funeral Service Workers","Funeral Attendants",NA,NA,2022-02-02
"Detailed","39-4021","39-0000","39-4000","39-4020","39-4021","Funeral Attendants","Personal Care and Service Occupations","Funeral Service Workers","Funeral Attendants","Funeral Attendants",NA,2022-02-02
"Broad","39-4030","39-0000","39-4000","39-4030",NA,"Morticians, Undertakers, and Funeral Directors","Personal Care and Service Occupations","Funeral Service Workers","Morticians, Undertakers, and Funeral Directors",NA,NA,2022-02-02
"Detailed","39-4031","39-0000","39-4000","39-4030","39-4031","Morticians, Undertakers, and Funeral Directors","Personal Care and Service Occupations","Funeral Service Workers","Morticians, Undertakers, and Funeral Directors","Morticians, Undertakers, and Funeral Directors",NA,2022-02-02
"Minor","39-5000","39-0000","39-5000",NA,NA,"Personal Appearance Workers","Personal Care and Service Occupations","Personal Appearance Workers",NA,NA,NA,2022-02-02
"Broad","39-5010","39-0000","39-5000","39-5010",NA,"Barbers, Hairdressers, Hairstylists and Cosmetologists","Personal Care and Service Occupations","Personal Appearance Workers","Barbers, Hairdressers, Hairstylists and Cosmetologists",NA,NA,2022-02-02
"Detailed","39-5011","39-0000","39-5000","39-5010","39-5011","Barbers","Personal Care and Service Occupations","Personal Appearance Workers","Barbers, Hairdressers, Hairstylists and Cosmetologists","Barbers",NA,2022-02-02
"Detailed","39-5012","39-0000","39-5000","39-5010","39-5012","Hairdressers, Hairstylists, and Cosmetologists","Personal Care and Service Occupations","Personal Appearance Workers","Barbers, Hairdressers, Hairstylists and Cosmetologists","Hairdressers, Hairstylists, and Cosmetologists",NA,2022-02-02
"Broad","39-5090","39-0000","39-5000","39-5090",NA,"Miscellaneous Personal Appearance Workers","Personal Care and Service Occupations","Personal Appearance Workers","Miscellaneous Personal Appearance Workers",NA,NA,2022-02-02
"Detailed","39-5091","39-0000","39-5000","39-5090","39-5091","Makeup Artists, Theatrical and Performance","Personal Care and Service Occupations","Personal Appearance Workers","Miscellaneous Personal Appearance Workers","Makeup Artists, Theatrical and Performance",NA,2022-02-02
"Detailed","39-5092","39-0000","39-5000","39-5090","39-5092","Manicurists and Pedicurists","Personal Care and Service Occupations","Personal Appearance Workers","Miscellaneous Personal Appearance Workers","Manicurists and Pedicurists",NA,2022-02-02
"Detailed","39-5093","39-0000","39-5000","39-5090","39-5093","Shampooers","Personal Care and Service Occupations","Personal Appearance Workers","Miscellaneous Personal Appearance Workers","Shampooers",NA,2022-02-02
"Detailed","39-5094","39-0000","39-5000","39-5090","39-5094","Skincare Specialists","Personal Care and Service Occupations","Personal Appearance Workers","Miscellaneous Personal Appearance Workers","Skincare Specialists",NA,2022-02-02
"Minor","39-6000","39-0000","39-6000",NA,NA,"Baggage Porters, Bellhops, and Concierges","Personal Care and Service Occupations","Baggage Porters, Bellhops, and Concierges",NA,NA,NA,2022-02-02
"Broad","39-6010","39-0000","39-6000","39-6010",NA,"Baggage Porters, Bellhops, and Concierges","Personal Care and Service Occupations","Baggage Porters, Bellhops, and Concierges","Baggage Porters, Bellhops, and Concierges",NA,NA,2022-02-02
"Detailed","39-6011","39-0000","39-6000","39-6010","39-6011","Baggage Porters and Bellhops","Personal Care and Service Occupations","Baggage Porters, Bellhops, and Concierges","Baggage Porters, Bellhops, and Concierges","Baggage Porters and Bellhops",NA,2022-02-02
"Detailed","39-6012","39-0000","39-6000","39-6010","39-6012","Concierges","Personal Care and Service Occupations","Baggage Porters, Bellhops, and Concierges","Baggage Porters, Bellhops, and Concierges","Concierges",NA,2022-02-02
"Minor","39-7000","39-0000","39-7000",NA,NA,"Tour and Travel Guides","Personal Care and Service Occupations","Tour and Travel Guides",NA,NA,NA,2022-02-02
"Broad","39-7010","39-0000","39-7000","39-7010",NA,"Tour and Travel Guides","Personal Care and Service Occupations","Tour and Travel Guides","Tour and Travel Guides",NA,NA,2022-02-02
"Detailed","39-7011","39-0000","39-7000","39-7010","39-7011","Tour Guides and Escorts","Personal Care and Service Occupations","Tour and Travel Guides","Tour and Travel Guides","Tour Guides and Escorts",NA,2022-02-02
"Detailed","39-7012","39-0000","39-7000","39-7010","39-7012","Travel Guides","Personal Care and Service Occupations","Tour and Travel Guides","Tour and Travel Guides","Travel Guides",NA,2022-02-02
"Minor","39-9000","39-0000","39-9000",NA,NA,"Other Personal Care and Service Workers","Personal Care and Service Occupations","Other Personal Care and Service Workers",NA,NA,NA,2022-02-02
"Broad","39-9010","39-0000","39-9000","39-9010",NA,"Childcare Workers","Personal Care and Service Occupations","Other Personal Care and Service Workers","Childcare Workers",NA,NA,2022-02-02
"Detailed","39-9011","39-0000","39-9000","39-9010","39-9011","Childcare Workers","Personal Care and Service Occupations","Other Personal Care and Service Workers","Childcare Workers","Childcare Workers",NA,2022-02-02
"Broad","39-9020","39-0000","39-9000","39-9020",NA,"Personal Care Aides","Personal Care and Service Occupations","Other Personal Care and Service Workers","Personal Care Aides",NA,NA,2022-02-02
"Detailed","39-9021","39-0000","39-9000","39-9020","39-9021","Personal Care Aides","Personal Care and Service Occupations","Other Personal Care and Service Workers","Personal Care Aides","Personal Care Aides",NA,2022-02-02
"Broad","39-9030","39-0000","39-9000","39-9030",NA,"Recreation and Fitness Workers","Personal Care and Service Occupations","Other Personal Care and Service Workers","Recreation and Fitness Workers",NA,NA,2022-02-02
"Detailed","39-9031","39-0000","39-9000","39-9030","39-9031","Fitness Trainers and Aerobics Instructors","Personal Care and Service Occupations","Other Personal Care and Service Workers","Recreation and Fitness Workers","Fitness Trainers and Aerobics Instructors",NA,2022-02-02
"Detailed","39-9032","39-0000","39-9000","39-9030","39-9032","Recreation Workers","Personal Care and Service Occupations","Other Personal Care and Service Workers","Recreation and Fitness Workers","Recreation Workers",NA,2022-02-02
"Broad","39-9040","39-0000","39-9000","39-9040",NA,"Residential Advisors","Personal Care and Service Occupations","Other Personal Care and Service Workers","Residential Advisors",NA,NA,2022-02-02
"Detailed","39-9041","39-0000","39-9000","39-9040","39-9041","Residential Advisors","Personal Care and Service Occupations","Other Personal Care and Service Workers","Residential Advisors","Residential Advisors",NA,2022-02-02
"Broad","39-9090","39-0000","39-9000","39-9090",NA,"Miscellaneous Personal Care and Service Workers","Personal Care and Service Occupations","Other Personal Care and Service Workers","Miscellaneous Personal Care and Service Workers",NA,NA,2022-02-02
"Detailed","39-9099","39-0000","39-9000","39-9090","39-9099","Personal Care and Service Workers, All Other","Personal Care and Service Occupations","Other Personal Care and Service Workers","Miscellaneous Personal Care and Service Workers","Personal Care and Service Workers, All Other",NA,2022-02-02
"Major","41-0000","41-0000",NA,NA,NA,"Sales and Related Occupations","Sales and Related Occupations",NA,NA,NA,NA,2022-02-02
"Minor","41-1000","41-0000","41-1000",NA,NA,"Supervisors of Sales Workers","Sales and Related Occupations","Supervisors of Sales Workers",NA,NA,NA,2022-02-02
"Broad","41-1010","41-0000","41-1000","41-1010",NA,"First-Line Supervisors of Sales Workers","Sales and Related Occupations","Supervisors of Sales Workers","First-Line Supervisors of Sales Workers",NA,NA,2022-02-02
"Detailed","41-1011","41-0000","41-1000","41-1010","41-1011","First-Line Supervisors of Retail Sales Workers","Sales and Related Occupations","Supervisors of Sales Workers","First-Line Supervisors of Sales Workers","First-Line Supervisors of Retail Sales Workers",NA,2022-02-02
"Detailed","41-1012","41-0000","41-1000","41-1010","41-1012","First-Line Supervisors of Non-Retail Sales Workers","Sales and Related Occupations","Supervisors of Sales Workers","First-Line Supervisors of Sales Workers","First-Line Supervisors of Non-Retail Sales Workers",NA,2022-02-02
"Minor","41-2000","41-0000","41-2000",NA,NA,"Retail Sales Workers","Sales and Related Occupations","Retail Sales Workers",NA,NA,NA,2022-02-02
"Broad","41-2010","41-0000","41-2000","41-2010",NA,"Cashiers","Sales and Related Occupations","Retail Sales Workers","Cashiers",NA,NA,2022-02-02
"Detailed","41-2011","41-0000","41-2000","41-2010","41-2011","Cashiers","Sales and Related Occupations","Retail Sales Workers","Cashiers","Cashiers",NA,2022-02-02
"Detailed","41-2012","41-0000","41-2000","41-2010","41-2012","Gaming Change Persons and Booth Cashiers","Sales and Related Occupations","Retail Sales Workers","Cashiers","Gaming Change Persons and Booth Cashiers",NA,2022-02-02
"Broad","41-2020","41-0000","41-2000","41-2020",NA,"Counter and Rental Clerks and Parts Salespersons","Sales and Related Occupations","Retail Sales Workers","Counter and Rental Clerks and Parts Salespersons",NA,NA,2022-02-02
"Detailed","41-2021","41-0000","41-2000","41-2020","41-2021","Counter and Rental Clerks","Sales and Related Occupations","Retail Sales Workers","Counter and Rental Clerks and Parts Salespersons","Counter and Rental Clerks",NA,2022-02-02
"Detailed","41-2022","41-0000","41-2000","41-2020","41-2022","Parts Salespersons","Sales and Related Occupations","Retail Sales Workers","Counter and Rental Clerks and Parts Salespersons","Parts Salespersons",NA,2022-02-02
"Broad","41-2030","41-0000","41-2000","41-2030",NA,"Retail Salespersons","Sales and Related Occupations","Retail Sales Workers","Retail Salespersons",NA,NA,2022-02-02
"Detailed","41-2031","41-0000","41-2000","41-2030","41-2031","Retail Salespersons","Sales and Related Occupations","Retail Sales Workers","Retail Salespersons","Retail Salespersons",NA,2022-02-02
"Minor","41-3000","41-0000","41-3000",NA,NA,"Sales Representatives, Services","Sales and Related Occupations","Sales Representatives, Services",NA,NA,NA,2022-02-02
"Broad","41-3010","41-0000","41-3000","41-3010",NA,"Advertising Sales Agents","Sales and Related Occupations","Sales Representatives, Services","Advertising Sales Agents",NA,NA,2022-02-02
"Detailed","41-3011","41-0000","41-3000","41-3010","41-3011","Advertising Sales Agents","Sales and Related Occupations","Sales Representatives, Services","Advertising Sales Agents","Advertising Sales Agents",NA,2022-02-02
"Broad","41-3020","41-0000","41-3000","41-3020",NA,"Insurance Sales Agents","Sales and Related Occupations","Sales Representatives, Services","Insurance Sales Agents",NA,NA,2022-02-02
"Detailed","41-3021","41-0000","41-3000","41-3020","41-3021","Insurance Sales Agents","Sales and Related Occupations","Sales Representatives, Services","Insurance Sales Agents","Insurance Sales Agents",NA,2022-02-02
"Broad","41-3030","41-0000","41-3000","41-3030",NA,"Securities, Commodities, and Financial Services Sales Agents","Sales and Related Occupations","Sales Representatives, Services","Securities, Commodities, and Financial Services Sales Agents",NA,NA,2022-02-02
"Detailed","41-3031","41-0000","41-3000","41-3030","41-3031","Securities, Commodities, and Financial Services Sales Agents","Sales and Related Occupations","Sales Representatives, Services","Securities, Commodities, and Financial Services Sales Agents","Securities, Commodities, and Financial Services Sales Agents",NA,2022-02-02
"Broad","41-3040","41-0000","41-3000","41-3040",NA,"Travel Agents","Sales and Related Occupations","Sales Representatives, Services","Travel Agents",NA,NA,2022-02-02
"Detailed","41-3041","41-0000","41-3000","41-3040","41-3041","Travel Agents","Sales and Related Occupations","Sales Representatives, Services","Travel Agents","Travel Agents",NA,2022-02-02
"Broad","41-3090","41-0000","41-3000","41-3090",NA,"Miscellaneous Sales Representatives, Services","Sales and Related Occupations","Sales Representatives, Services","Miscellaneous Sales Representatives, Services",NA,NA,2022-02-02
"Detailed","41-3099","41-0000","41-3000","41-3090","41-3099","Sales Representatives, Services, All Other","Sales and Related Occupations","Sales Representatives, Services","Miscellaneous Sales Representatives, Services","Sales Representatives, Services, All Other",NA,2022-02-02
"Minor","41-4000","41-0000","41-4000",NA,NA,"Sales Representatives, Wholesale and Manufacturing","Sales and Related Occupations","Sales Representatives, Wholesale and Manufacturing",NA,NA,NA,2022-02-02
"Broad","41-4010","41-0000","41-4000","41-4010",NA,"Sales Representatives, Wholesale and Manufacturing","Sales and Related Occupations","Sales Representatives, Wholesale and Manufacturing","Sales Representatives, Wholesale and Manufacturing",NA,NA,2022-02-02
"Detailed","41-4011","41-0000","41-4000","41-4010","41-4011","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sales and Related Occupations","Sales Representatives, Wholesale and Manufacturing","Sales Representatives, Wholesale and Manufacturing","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",NA,2022-02-02
"Detailed","41-4012","41-0000","41-4000","41-4010","41-4012","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","Sales and Related Occupations","Sales Representatives, Wholesale and Manufacturing","Sales Representatives, Wholesale and Manufacturing","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",NA,2022-02-02
"Minor","41-9000","41-0000","41-9000",NA,NA,"Other Sales and Related Workers","Sales and Related Occupations","Other Sales and Related Workers",NA,NA,NA,2022-02-02
"Broad","41-9010","41-0000","41-9000","41-9010",NA,"Models, Demonstrators, and Product Promoters","Sales and Related Occupations","Other Sales and Related Workers","Models, Demonstrators, and Product Promoters",NA,NA,2022-02-02
"Detailed","41-9011","41-0000","41-9000","41-9010","41-9011","Demonstrators and Product Promoters","Sales and Related Occupations","Other Sales and Related Workers","Models, Demonstrators, and Product Promoters","Demonstrators and Product Promoters",NA,2022-02-02
"Detailed","41-9012","41-0000","41-9000","41-9010","41-9012","Models","Sales and Related Occupations","Other Sales and Related Workers","Models, Demonstrators, and Product Promoters","Models",NA,2022-02-02
"Broad","41-9020","41-0000","41-9000","41-9020",NA,"Real Estate Brokers and Sales Agents","Sales and Related Occupations","Other Sales and Related Workers","Real Estate Brokers and Sales Agents",NA,NA,2022-02-02
"Detailed","41-9021","41-0000","41-9000","41-9020","41-9021","Real Estate Brokers","Sales and Related Occupations","Other Sales and Related Workers","Real Estate Brokers and Sales Agents","Real Estate Brokers",NA,2022-02-02
"Detailed","41-9022","41-0000","41-9000","41-9020","41-9022","Real Estate Sales Agents","Sales and Related Occupations","Other Sales and Related Workers","Real Estate Brokers and Sales Agents","Real Estate Sales Agents",NA,2022-02-02
"Broad","41-9030","41-0000","41-9000","41-9030",NA,"Sales Engineers","Sales and Related Occupations","Other Sales and Related Workers","Sales Engineers",NA,NA,2022-02-02
"Detailed","41-9031","41-0000","41-9000","41-9030","41-9031","Sales Engineers","Sales and Related Occupations","Other Sales and Related Workers","Sales Engineers","Sales Engineers",NA,2022-02-02
"Broad","41-9040","41-0000","41-9000","41-9040",NA,"Telemarketers","Sales and Related Occupations","Other Sales and Related Workers","Telemarketers",NA,NA,2022-02-02
"Detailed","41-9041","41-0000","41-9000","41-9040","41-9041","Telemarketers","Sales and Related Occupations","Other Sales and Related Workers","Telemarketers","Telemarketers",NA,2022-02-02
"Broad","41-9090","41-0000","41-9000","41-9090",NA,"Miscellaneous Sales and Related Workers","Sales and Related Occupations","Other Sales and Related Workers","Miscellaneous Sales and Related Workers",NA,NA,2022-02-02
"Detailed","41-9091","41-0000","41-9000","41-9090","41-9091","Door-to-Door Sales Workers, News and Street Vendors, and Related Workers","Sales and Related Occupations","Other Sales and Related Workers","Miscellaneous Sales and Related Workers","Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",NA,2022-02-02
"Detailed","41-9099","41-0000","41-9000","41-9090","41-9099","Sales and Related Workers, All Other","Sales and Related Occupations","Other Sales and Related Workers","Miscellaneous Sales and Related Workers","Sales and Related Workers, All Other",NA,2022-02-02
"Major","43-0000","43-0000",NA,NA,NA,"Office and Administrative Support Occupations","Office and Administrative Support Occupations",NA,NA,NA,NA,2022-02-02
"Minor","43-1000","43-0000","43-1000",NA,NA,"Supervisors of Office and Administrative Support Workers","Office and Administrative Support Occupations","Supervisors of Office and Administrative Support Workers",NA,NA,NA,2022-02-02
"Broad","43-1010","43-0000","43-1000","43-1010",NA,"First-Line Supervisors of Office and Administrative Support Workers","Office and Administrative Support Occupations","Supervisors of Office and Administrative Support Workers","First-Line Supervisors of Office and Administrative Support Workers",NA,NA,2022-02-02
"Detailed","43-1011","43-0000","43-1000","43-1010","43-1011","First-Line Supervisors of Office and Administrative Support Workers","Office and Administrative Support Occupations","Supervisors of Office and Administrative Support Workers","First-Line Supervisors of Office and Administrative Support Workers","First-Line Supervisors of Office and Administrative Support Workers",NA,2022-02-02
"Minor","43-2000","43-0000","43-2000",NA,NA,"Communications Equipment Operators","Office and Administrative Support Occupations","Communications Equipment Operators",NA,NA,NA,2022-02-02
"Broad","43-2010","43-0000","43-2000","43-2010",NA,"Switchboard Operators, Including Answering Service","Office and Administrative Support Occupations","Communications Equipment Operators","Switchboard Operators, Including Answering Service",NA,NA,2022-02-02
"Detailed","43-2011","43-0000","43-2000","43-2010","43-2011","Switchboard Operators, Including Answering Service","Office and Administrative Support Occupations","Communications Equipment Operators","Switchboard Operators, Including Answering Service","Switchboard Operators, Including Answering Service",NA,2022-02-02
"Broad","43-2020","43-0000","43-2000","43-2020",NA,"Telephone Operators","Office and Administrative Support Occupations","Communications Equipment Operators","Telephone Operators",NA,NA,2022-02-02
"Detailed","43-2021","43-0000","43-2000","43-2020","43-2021","Telephone Operators","Office and Administrative Support Occupations","Communications Equipment Operators","Telephone Operators","Telephone Operators",NA,2022-02-02
"Broad","43-2090","43-0000","43-2000","43-2090",NA,"Miscellaneous Communications Equipment Operators","Office and Administrative Support Occupations","Communications Equipment Operators","Miscellaneous Communications Equipment Operators",NA,NA,2022-02-02
"Detailed","43-2099","43-0000","43-2000","43-2090","43-2099","Communications Equipment Operators, All Other","Office and Administrative Support Occupations","Communications Equipment Operators","Miscellaneous Communications Equipment Operators","Communications Equipment Operators, All Other",NA,2022-02-02
"Minor","43-3000","43-0000","43-3000",NA,NA,"Financial Clerks","Office and Administrative Support Occupations","Financial Clerks",NA,NA,NA,2022-02-02
"Broad","43-3010","43-0000","43-3000","43-3010",NA,"Bill and Account Collectors","Office and Administrative Support Occupations","Financial Clerks","Bill and Account Collectors",NA,NA,2022-02-02
"Detailed","43-3011","43-0000","43-3000","43-3010","43-3011","Bill and Account Collectors","Office and Administrative Support Occupations","Financial Clerks","Bill and Account Collectors","Bill and Account Collectors",NA,2022-02-02
"Broad","43-3020","43-0000","43-3000","43-3020",NA,"Billing and Posting Clerks","Office and Administrative Support Occupations","Financial Clerks","Billing and Posting Clerks",NA,NA,2022-02-02
"Detailed","43-3021","43-0000","43-3000","43-3020","43-3021","Billing and Posting Clerks","Office and Administrative Support Occupations","Financial Clerks","Billing and Posting Clerks","Billing and Posting Clerks",NA,2022-02-02
"Broad","43-3030","43-0000","43-3000","43-3030",NA,"Bookkeeping, Accounting, and Auditing Clerks","Office and Administrative Support Occupations","Financial Clerks","Bookkeeping, Accounting, and Auditing Clerks",NA,NA,2022-02-02
"Detailed","43-3031","43-0000","43-3000","43-3030","43-3031","Bookkeeping, Accounting, and Auditing Clerks","Office and Administrative Support Occupations","Financial Clerks","Bookkeeping, Accounting, and Auditing Clerks","Bookkeeping, Accounting, and Auditing Clerks",NA,2022-02-02
"Broad","43-3040","43-0000","43-3000","43-3040",NA,"Gaming Cage Workers","Office and Administrative Support Occupations","Financial Clerks","Gaming Cage Workers",NA,NA,2022-02-02
"Detailed","43-3041","43-0000","43-3000","43-3040","43-3041","Gaming Cage Workers","Office and Administrative Support Occupations","Financial Clerks","Gaming Cage Workers","Gaming Cage Workers",NA,2022-02-02
"Broad","43-3050","43-0000","43-3000","43-3050",NA,"Payroll and Timekeeping Clerks","Office and Administrative Support Occupations","Financial Clerks","Payroll and Timekeeping Clerks",NA,NA,2022-02-02
"Detailed","43-3051","43-0000","43-3000","43-3050","43-3051","Payroll and Timekeeping Clerks","Office and Administrative Support Occupations","Financial Clerks","Payroll and Timekeeping Clerks","Payroll and Timekeeping Clerks",NA,2022-02-02
"Broad","43-3060","43-0000","43-3000","43-3060",NA,"Procurement Clerks","Office and Administrative Support Occupations","Financial Clerks","Procurement Clerks",NA,NA,2022-02-02
"Detailed","43-3061","43-0000","43-3000","43-3060","43-3061","Procurement Clerks","Office and Administrative Support Occupations","Financial Clerks","Procurement Clerks","Procurement Clerks",NA,2022-02-02
"Broad","43-3070","43-0000","43-3000","43-3070",NA,"Tellers","Office and Administrative Support Occupations","Financial Clerks","Tellers",NA,NA,2022-02-02
"Detailed","43-3071","43-0000","43-3000","43-3070","43-3071","Tellers","Office and Administrative Support Occupations","Financial Clerks","Tellers","Tellers",NA,2022-02-02
"Broad","43-3090","43-0000","43-3000","43-3090",NA,"Miscellaneous Financial Clerks","Office and Administrative Support Occupations","Financial Clerks","Miscellaneous Financial Clerks",NA,NA,2022-02-02
"Detailed","43-3099","43-0000","43-3000","43-3090","43-3099","Financial Clerks, All Other","Office and Administrative Support Occupations","Financial Clerks","Miscellaneous Financial Clerks","Financial Clerks, All Other",NA,2022-02-02
"Minor","43-4000","43-0000","43-4000",NA,NA,"Information and Record Clerks","Office and Administrative Support Occupations","Information and Record Clerks",NA,NA,NA,2022-02-02
"Broad","43-4010","43-0000","43-4000","43-4010",NA,"Brokerage Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Brokerage Clerks",NA,NA,2022-02-02
"Detailed","43-4011","43-0000","43-4000","43-4010","43-4011","Brokerage Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Brokerage Clerks","Brokerage Clerks",NA,2022-02-02
"Broad","43-4020","43-0000","43-4000","43-4020",NA,"Correspondence Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Correspondence Clerks",NA,NA,2022-02-02
"Detailed","43-4021","43-0000","43-4000","43-4020","43-4021","Correspondence Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Correspondence Clerks","Correspondence Clerks",NA,2022-02-02
"Broad","43-4030","43-0000","43-4000","43-4030",NA,"Court, Municipal, and License Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Court, Municipal, and License Clerks",NA,NA,2022-02-02
"Detailed","43-4031","43-0000","43-4000","43-4030","43-4031","Court, Municipal, and License Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Court, Municipal, and License Clerks","Court, Municipal, and License Clerks",NA,2022-02-02
"Broad","43-4040","43-0000","43-4000","43-4040",NA,"Credit Authorizers, Checkers, and Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Credit Authorizers, Checkers, and Clerks",NA,NA,2022-02-02
"Detailed","43-4041","43-0000","43-4000","43-4040","43-4041","Credit Authorizers, Checkers, and Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Credit Authorizers, Checkers, and Clerks","Credit Authorizers, Checkers, and Clerks",NA,2022-02-02
"Broad","43-4050","43-0000","43-4000","43-4050",NA,"Customer Service Representatives","Office and Administrative Support Occupations","Information and Record Clerks","Customer Service Representatives",NA,NA,2022-02-02
"Detailed","43-4051","43-0000","43-4000","43-4050","43-4051","Customer Service Representatives","Office and Administrative Support Occupations","Information and Record Clerks","Customer Service Representatives","Customer Service Representatives",NA,2022-02-02
"Broad","43-4060","43-0000","43-4000","43-4060",NA,"Eligibility Interviewers, Government Programs","Office and Administrative Support Occupations","Information and Record Clerks","Eligibility Interviewers, Government Programs",NA,NA,2022-02-02
"Detailed","43-4061","43-0000","43-4000","43-4060","43-4061","Eligibility Interviewers, Government Programs","Office and Administrative Support Occupations","Information and Record Clerks","Eligibility Interviewers, Government Programs","Eligibility Interviewers, Government Programs",NA,2022-02-02
"Broad","43-4070","43-0000","43-4000","43-4070",NA,"File Clerks","Office and Administrative Support Occupations","Information and Record Clerks","File Clerks",NA,NA,2022-02-02
"Detailed","43-4071","43-0000","43-4000","43-4070","43-4071","File Clerks","Office and Administrative Support Occupations","Information and Record Clerks","File Clerks","File Clerks",NA,2022-02-02
"Broad","43-4080","43-0000","43-4000","43-4080",NA,"Hotel, Motel, and Resort Desk Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Hotel, Motel, and Resort Desk Clerks",NA,NA,2022-02-02
"Detailed","43-4081","43-0000","43-4000","43-4080","43-4081","Hotel, Motel, and Resort Desk Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Hotel, Motel, and Resort Desk Clerks","Hotel, Motel, and Resort Desk Clerks",NA,2022-02-02
"Broad","43-4110","43-0000","43-4000","43-4110",NA,"Interviewers, Except Eligibility and Loan","Office and Administrative Support Occupations","Information and Record Clerks","Interviewers, Except Eligibility and Loan",NA,NA,2022-02-02
"Detailed","43-4111","43-0000","43-4000","43-4110","43-4111","Interviewers, Except Eligibility and Loan","Office and Administrative Support Occupations","Information and Record Clerks","Interviewers, Except Eligibility and Loan","Interviewers, Except Eligibility and Loan",NA,2022-02-02
"Broad","43-4120","43-0000","43-4000","43-4120",NA,"Library Assistants, Clerical","Office and Administrative Support Occupations","Information and Record Clerks","Library Assistants, Clerical",NA,NA,2022-02-02
"Detailed","43-4121","43-0000","43-4000","43-4120","43-4121","Library Assistants, Clerical","Office and Administrative Support Occupations","Information and Record Clerks","Library Assistants, Clerical","Library Assistants, Clerical",NA,2022-02-02
"Broad","43-4130","43-0000","43-4000","43-4130",NA,"Loan Interviewers and Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Loan Interviewers and Clerks",NA,NA,2022-02-02
"Detailed","43-4131","43-0000","43-4000","43-4130","43-4131","Loan Interviewers and Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Loan Interviewers and Clerks","Loan Interviewers and Clerks",NA,2022-02-02
"Broad","43-4140","43-0000","43-4000","43-4140",NA,"New Accounts Clerks","Office and Administrative Support Occupations","Information and Record Clerks","New Accounts Clerks",NA,NA,2022-02-02
"Detailed","43-4141","43-0000","43-4000","43-4140","43-4141","New Accounts Clerks","Office and Administrative Support Occupations","Information and Record Clerks","New Accounts Clerks","New Accounts Clerks",NA,2022-02-02
"Broad","43-4150","43-0000","43-4000","43-4150",NA,"Order Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Order Clerks",NA,NA,2022-02-02
"Detailed","43-4151","43-0000","43-4000","43-4150","43-4151","Order Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Order Clerks","Order Clerks",NA,2022-02-02
"Broad","43-4160","43-0000","43-4000","43-4160",NA,"Human Resources Assistants, Except Payroll and Timekeeping","Office and Administrative Support Occupations","Information and Record Clerks","Human Resources Assistants, Except Payroll and Timekeeping",NA,NA,2022-02-02
"Detailed","43-4161","43-0000","43-4000","43-4160","43-4161","Human Resources Assistants, Except Payroll and Timekeeping","Office and Administrative Support Occupations","Information and Record Clerks","Human Resources Assistants, Except Payroll and Timekeeping","Human Resources Assistants, Except Payroll and Timekeeping",NA,2022-02-02
"Broad","43-4170","43-0000","43-4000","43-4170",NA,"Receptionists and Information Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Receptionists and Information Clerks",NA,NA,2022-02-02
"Detailed","43-4171","43-0000","43-4000","43-4170","43-4171","Receptionists and Information Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Receptionists and Information Clerks","Receptionists and Information Clerks",NA,2022-02-02
"Broad","43-4180","43-0000","43-4000","43-4180",NA,"Reservation and Transportation Ticket Agents and Travel Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Reservation and Transportation Ticket Agents and Travel Clerks",NA,NA,2022-02-02
