"group","code","major","minor","broad","detailed","title","major.title","minor.title","broad.title","detailed.title","uploaded"
"Broad","43-2010","43-0000","43-2000","43-2010",NA,"Switchboard Operators, Including Answering Service","Office and Administrative Support Occupations","Communications Equipment Operators","Switchboard Operators, Including Answering Service",NA,2022-02-02
"Detailed","43-2011","43-0000","43-2000","43-2010","43-2011","Switchboard Operators, Including Answering Service","Office and Administrative Support Occupations","Communications Equipment Operators","Switchboard Operators, Including Answering Service","Switchboard Operators, Including Answering Service",2022-02-02
"Broad","43-2020","43-0000","43-2000","43-2020",NA,"Telephone Operators","Office and Administrative Support Occupations","Communications Equipment Operators","Telephone Operators",NA,2022-02-02
"Detailed","43-2021","43-0000","43-2000","43-2020","43-2021","Telephone Operators","Office and Administrative Support Occupations","Communications Equipment Operators","Telephone Operators","Telephone Operators",2022-02-02
"Broad","43-2090","43-0000","43-2000","43-2090",NA,"Miscellaneous Communications Equipment Operators","Office and Administrative Support Occupations","Communications Equipment Operators","Miscellaneous Communications Equipment Operators",NA,2022-02-02
"Detailed","43-2099","43-0000","43-2000","43-2090","43-2099","Communications Equipment Operators, All Other","Office and Administrative Support Occupations","Communications Equipment Operators","Miscellaneous Communications Equipment Operators","Communications Equipment Operators, All Other",2022-02-02
"Minor","43-3000","43-0000","43-3000",NA,NA,"Financial Clerks","Office and Administrative Support Occupations","Financial Clerks",NA,NA,2022-02-02
"Broad","43-3010","43-0000","43-3000","43-3010",NA,"Bill and Account Collectors","Office and Administrative Support Occupations","Financial Clerks","Bill and Account Collectors",NA,2022-02-02
"Detailed","43-3011","43-0000","43-3000","43-3010","43-3011","Bill and Account Collectors","Office and Administrative Support Occupations","Financial Clerks","Bill and Account Collectors","Bill and Account Collectors",2022-02-02
"Broad","43-3020","43-0000","43-3000","43-3020",NA,"Billing and Posting Clerks","Office and Administrative Support Occupations","Financial Clerks","Billing and Posting Clerks",NA,2022-02-02
"Detailed","43-3021","43-0000","43-3000","43-3020","43-3021","Billing and Posting Clerks","Office and Administrative Support Occupations","Financial Clerks","Billing and Posting Clerks","Billing and Posting Clerks",2022-02-02
"Broad","43-3030","43-0000","43-3000","43-3030",NA,"Bookkeeping, Accounting, and Auditing Clerks","Office and Administrative Support Occupations","Financial Clerks","Bookkeeping, Accounting, and Auditing Clerks",NA,2022-02-02
"Detailed","43-3031","43-0000","43-3000","43-3030","43-3031","Bookkeeping, Accounting, and Auditing Clerks","Office and Administrative Support Occupations","Financial Clerks","Bookkeeping, Accounting, and Auditing Clerks","Bookkeeping, Accounting, and Auditing Clerks",2022-02-02
"Broad","43-3040","43-0000","43-3000","43-3040",NA,"Gambling Cage Workers","Office and Administrative Support Occupations","Financial Clerks","Gambling Cage Workers",NA,2022-02-02
"Detailed","43-3041","43-0000","43-3000","43-3040","43-3041","Gambling Cage Workers","Office and Administrative Support Occupations","Financial Clerks","Gambling Cage Workers","Gambling Cage Workers",2022-02-02
"Broad","43-3050","43-0000","43-3000","43-3050",NA,"Payroll and Timekeeping Clerks","Office and Administrative Support Occupations","Financial Clerks","Payroll and Timekeeping Clerks",NA,2022-02-02
"Detailed","43-3051","43-0000","43-3000","43-3050","43-3051","Payroll and Timekeeping Clerks","Office and Administrative Support Occupations","Financial Clerks","Payroll and Timekeeping Clerks","Payroll and Timekeeping Clerks",2022-02-02
"Broad","43-3060","43-0000","43-3000","43-3060",NA,"Procurement Clerks","Office and Administrative Support Occupations","Financial Clerks","Procurement Clerks",NA,2022-02-02
"Detailed","43-3061","43-0000","43-3000","43-3060","43-3061","Procurement Clerks","Office and Administrative Support Occupations","Financial Clerks","Procurement Clerks","Procurement Clerks",2022-02-02
"Broad","43-3070","43-0000","43-3000","43-3070",NA,"Tellers","Office and Administrative Support Occupations","Financial Clerks","Tellers",NA,2022-02-02
"Detailed","43-3071","43-0000","43-3000","43-3070","43-3071","Tellers","Office and Administrative Support Occupations","Financial Clerks","Tellers","Tellers",2022-02-02
"Broad","43-3090","43-0000","43-3000","43-3090",NA,"Miscellaneous Financial Clerks","Office and Administrative Support Occupations","Financial Clerks","Miscellaneous Financial Clerks",NA,2022-02-02
"Detailed","43-3099","43-0000","43-3000","43-3090","43-3099","Financial Clerks, All Other","Office and Administrative Support Occupations","Financial Clerks","Miscellaneous Financial Clerks","Financial Clerks, All Other",2022-02-02
"Minor","43-4000","43-0000","43-4000",NA,NA,"Information and Record Clerks","Office and Administrative Support Occupations","Information and Record Clerks",NA,NA,2022-02-02
"Broad","43-4010","43-0000","43-4000","43-4010",NA,"Brokerage Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Brokerage Clerks",NA,2022-02-02
"Detailed","43-4011","43-0000","43-4000","43-4010","43-4011","Brokerage Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Brokerage Clerks","Brokerage Clerks",2022-02-02
"Broad","43-4020","43-0000","43-4000","43-4020",NA,"Correspondence Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Correspondence Clerks",NA,2022-02-02
"Detailed","43-4021","43-0000","43-4000","43-4020","43-4021","Correspondence Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Correspondence Clerks","Correspondence Clerks",2022-02-02
"Broad","43-4030","43-0000","43-4000","43-4030",NA,"Court, Municipal, and License Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Court, Municipal, and License Clerks",NA,2022-02-02
"Detailed","43-4031","43-0000","43-4000","43-4030","43-4031","Court, Municipal, and License Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Court, Municipal, and License Clerks","Court, Municipal, and License Clerks",2022-02-02
"Broad","43-4040","43-0000","43-4000","43-4040",NA,"Credit Authorizers, Checkers, and Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Credit Authorizers, Checkers, and Clerks",NA,2022-02-02
"Detailed","43-4041","43-0000","43-4000","43-4040","43-4041","Credit Authorizers, Checkers, and Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Credit Authorizers, Checkers, and Clerks","Credit Authorizers, Checkers, and Clerks",2022-02-02
"Broad","43-4050","43-0000","43-4000","43-4050",NA,"Customer Service Representatives","Office and Administrative Support Occupations","Information and Record Clerks","Customer Service Representatives",NA,2022-02-02
"Detailed","43-4051","43-0000","43-4000","43-4050","43-4051","Customer Service Representatives","Office and Administrative Support Occupations","Information and Record Clerks","Customer Service Representatives","Customer Service Representatives",2022-02-02
"Broad","43-4060","43-0000","43-4000","43-4060",NA,"Eligibility Interviewers, Government Programs","Office and Administrative Support Occupations","Information and Record Clerks","Eligibility Interviewers, Government Programs",NA,2022-02-02
"Detailed","43-4061","43-0000","43-4000","43-4060","43-4061","Eligibility Interviewers, Government Programs","Office and Administrative Support Occupations","Information and Record Clerks","Eligibility Interviewers, Government Programs","Eligibility Interviewers, Government Programs",2022-02-02
"Broad","43-4070","43-0000","43-4000","43-4070",NA,"File Clerks","Office and Administrative Support Occupations","Information and Record Clerks","File Clerks",NA,2022-02-02
"Detailed","43-4071","43-0000","43-4000","43-4070","43-4071","File Clerks","Office and Administrative Support Occupations","Information and Record Clerks","File Clerks","File Clerks",2022-02-02
"Broad","43-4080","43-0000","43-4000","43-4080",NA,"Hotel, Motel, and Resort Desk Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Hotel, Motel, and Resort Desk Clerks",NA,2022-02-02
"Detailed","43-4081","43-0000","43-4000","43-4080","43-4081","Hotel, Motel, and Resort Desk Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Hotel, Motel, and Resort Desk Clerks","Hotel, Motel, and Resort Desk Clerks",2022-02-02
"Broad","43-4110","43-0000","43-4000","43-4110",NA,"Interviewers, Except Eligibility and Loan","Office and Administrative Support Occupations","Information and Record Clerks","Interviewers, Except Eligibility and Loan",NA,2022-02-02
"Detailed","43-4111","43-0000","43-4000","43-4110","43-4111","Interviewers, Except Eligibility and Loan","Office and Administrative Support Occupations","Information and Record Clerks","Interviewers, Except Eligibility and Loan","Interviewers, Except Eligibility and Loan",2022-02-02
"Broad","43-4120","43-0000","43-4000","43-4120",NA,"Library Assistants, Clerical","Office and Administrative Support Occupations","Information and Record Clerks","Library Assistants, Clerical",NA,2022-02-02
"Detailed","43-4121","43-0000","43-4000","43-4120","43-4121","Library Assistants, Clerical","Office and Administrative Support Occupations","Information and Record Clerks","Library Assistants, Clerical","Library Assistants, Clerical",2022-02-02
"Broad","43-4130","43-0000","43-4000","43-4130",NA,"Loan Interviewers and Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Loan Interviewers and Clerks",NA,2022-02-02
"Detailed","43-4131","43-0000","43-4000","43-4130","43-4131","Loan Interviewers and Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Loan Interviewers and Clerks","Loan Interviewers and Clerks",2022-02-02
"Broad","43-4140","43-0000","43-4000","43-4140",NA,"New Accounts Clerks","Office and Administrative Support Occupations","Information and Record Clerks","New Accounts Clerks",NA,2022-02-02
"Detailed","43-4141","43-0000","43-4000","43-4140","43-4141","New Accounts Clerks","Office and Administrative Support Occupations","Information and Record Clerks","New Accounts Clerks","New Accounts Clerks",2022-02-02
"Broad","43-4150","43-0000","43-4000","43-4150",NA,"Order Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Order Clerks",NA,2022-02-02
"Detailed","43-4151","43-0000","43-4000","43-4150","43-4151","Order Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Order Clerks","Order Clerks",2022-02-02
"Broad","43-4160","43-0000","43-4000","43-4160",NA,"Human Resources Assistants, Except Payroll and Timekeeping","Office and Administrative Support Occupations","Information and Record Clerks","Human Resources Assistants, Except Payroll and Timekeeping",NA,2022-02-02
"Detailed","43-4161","43-0000","43-4000","43-4160","43-4161","Human Resources Assistants, Except Payroll and Timekeeping","Office and Administrative Support Occupations","Information and Record Clerks","Human Resources Assistants, Except Payroll and Timekeeping","Human Resources Assistants, Except Payroll and Timekeeping",2022-02-02
"Broad","43-4170","43-0000","43-4000","43-4170",NA,"Receptionists and Information Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Receptionists and Information Clerks",NA,2022-02-02
"Detailed","43-4171","43-0000","43-4000","43-4170","43-4171","Receptionists and Information Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Receptionists and Information Clerks","Receptionists and Information Clerks",2022-02-02
"Broad","43-4180","43-0000","43-4000","43-4180",NA,"Reservation and Transportation Ticket Agents and Travel Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Reservation and Transportation Ticket Agents and Travel Clerks",NA,2022-02-02
"Detailed","43-4181","43-0000","43-4000","43-4180","43-4181","Reservation and Transportation Ticket Agents and Travel Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Reservation and Transportation Ticket Agents and Travel Clerks","Reservation and Transportation Ticket Agents and Travel Clerks",2022-02-02
"Broad","43-4190","43-0000","43-4000","43-4190",NA,"Miscellaneous Information and Record Clerks","Office and Administrative Support Occupations","Information and Record Clerks","Miscellaneous Information and Record Clerks",NA,2022-02-02
"Detailed","43-4199","43-0000","43-4000","43-4190","43-4199","Information and Record Clerks, All Other","Office and Administrative Support Occupations","Information and Record Clerks","Miscellaneous Information and Record Clerks","Information and Record Clerks, All Other",2022-02-02
"Minor","43-5000","43-0000","43-5000",NA,NA,"Material Recording, Scheduling, Dispatching, and Distributing Workers","Office and Administrative Support Occupations","Material Recording, Scheduling, Dispatching, and Distributing Workers",NA,NA,2022-02-02
"Broad","43-5010","43-0000","43-5000","43-5010",NA,"Cargo and Freight Agents","Office and Administrative Support Occupations","Material Recording, Scheduling, Dispatching, and Distributing Workers","Cargo and Freight Agents",NA,2022-02-02
"Detailed","43-5011","43-0000","43-5000","43-5010","43-5011","Cargo and Freight Agents","Office and Administrative Support Occupations","Material Recording, Scheduling, Dispatching, and Distributing Workers","Cargo and Freight Agents","Cargo and Freight Agents",2022-02-02
"Broad","43-5020","43-0000","43-5000","43-5020",NA,"Couriers and Messengers","Office and Administrative Support Occupations","Material Recording, Scheduling, Dispatching, and Distributing Workers","Couriers and Messengers",NA,2022-02-02
"Detailed","43-5021","43-0000","43-5000","43-5020","43-5021","Couriers and Messengers","Office and Administrative Support Occupations","Material Recording, Scheduling, Dispatching, and Distributing Workers","Couriers and Messengers","Couriers and Messengers",2022-02-02
"Broad","43-5030","43-0000","43-5000","43-5030",NA,"Dispatchers","Office and Administrative Support Occupations","Material Recording, Scheduling, Dispatching, and Distributing Workers","Dispatchers",NA,2022-02-02
"Detailed","43-5031","43-0000","43-5000","43-5030","43-5031","Public Safety Telecommunicators","Office and Administrative Support Occupations","Material Recording, Scheduling, Dispatching, and Distributing Workers","Dispatchers","Public Safety Telecommunicators",2022-02-02
"Detailed","43-5032","43-0000","43-5000","43-5030","43-5032","Dispatchers, Except Police, Fire, and Ambulance","Office and Administrative Support Occupations","Material Recording, Scheduling, Dispatching, and Distributing Workers","Dispatchers","Dispatchers, Except Police, Fire, and Ambulance",2022-02-02
"Broad","43-5040","43-0000","43-5000","43-5040",NA,"Meter Readers, Utilities","Office and Administrative Support Occupations","Material Recording, Scheduling, Dispatching, and Distributing Workers","Meter Readers, Utilities",NA,2022-02-02
"Detailed","43-5041","43-0000","43-5000","43-5040","43-5041","Meter Readers, Utilities","Office and Administrative Support Occupations","Material Recording, Scheduling, Dispatching, and Distributing Workers","Meter Readers, Utilities","Meter Readers, Utilities",2022-02-02
"Broad","43-5050","43-0000","43-5000","43-5050",NA,"Postal Service Workers","Office and Administrative Support Occupations","Material Recording, Scheduling, Dispatching, and Distributing Workers","Postal Service Workers",NA,2022-02-02
"Detailed","43-5051","43-0000","43-5000","43-5050","43-5051","Postal Service Clerks","Office and Administrative Support Occupations","Material Recording, Scheduling, Dispatching, and Distributing Workers","Postal Service Workers","Postal Service Clerks",2022-02-02
"Detailed","43-5052","43-0000","43-5000","43-5050","43-5052","Postal Service Mail Carriers","Office and Administrative Support Occupations","Material Recording, Scheduling, Dispatching, and Distributing Workers","Postal Service Workers","Postal Service Mail Carriers",2022-02-02
"Detailed","43-5053","43-0000","43-5000","43-5050","43-5053","Postal Service Mail Sorters, Processors, and Processing Machine Operators","Office and Administrative Support Occupations","Material Recording, Scheduling, Dispatching, and Distributing Workers","Postal Service Workers","Postal Service Mail Sorters, Processors, and Processing Machine Operators",2022-02-02
"Broad","43-5060","43-0000","43-5000","43-5060",NA,"Production, Planning, and Expediting Clerks","Office and Administrative Support Occupations","Material Recording, Scheduling, Dispatching, and Distributing Workers","Production, Planning, and Expediting Clerks",NA,2022-02-02
"Detailed","43-5061","43-0000","43-5000","43-5060","43-5061","Production, Planning, and Expediting Clerks","Office and Administrative Support Occupations","Material Recording, Scheduling, Dispatching, and Distributing Workers","Production, Planning, and Expediting Clerks","Production, Planning, and Expediting Clerks",2022-02-02
"Broad","43-5070","43-0000","43-5000","43-5070",NA,"Shipping, Receiving, and Inventory Clerks","Office and Administrative Support Occupations","Material Recording, Scheduling, Dispatching, and Distributing Workers","Shipping, Receiving, and Inventory Clerks",NA,2022-02-02
"Detailed","43-5071","43-0000","43-5000","43-5070","43-5071","Shipping, Receiving, and Inventory Clerks","Office and Administrative Support Occupations","Material Recording, Scheduling, Dispatching, and Distributing Workers","Shipping, Receiving, and Inventory Clerks","Shipping, Receiving, and Inventory Clerks",2022-02-02
"Broad","43-5110","43-0000","43-5000","43-5110",NA,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","Office and Administrative Support Occupations","Material Recording, Scheduling, Dispatching, and Distributing Workers","Weighers, Measurers, Checkers, and Samplers, Recordkeeping",NA,2022-02-02
"Detailed","43-5111","43-0000","43-5000","43-5110","43-5111","Weighers, Measurers, Checkers, and Samplers, Recordkeeping","Office and Administrative Support Occupations","Material Recording, Scheduling, Dispatching, and Distributing Workers","Weighers, Measurers, Checkers, and Samplers, Recordkeeping","Weighers, Measurers, Checkers, and Samplers, Recordkeeping",2022-02-02
"Minor","43-6000","43-0000","43-6000",NA,NA,"Secretaries and Administrative Assistants","Office and Administrative Support Occupations","Secretaries and Administrative Assistants",NA,NA,2022-02-02
"Broad","43-6010","43-0000","43-6000","43-6010",NA,"Secretaries and Administrative Assistants","Office and Administrative Support Occupations","Secretaries and Administrative Assistants","Secretaries and Administrative Assistants",NA,2022-02-02
"Detailed","43-6011","43-0000","43-6000","43-6010","43-6011","Executive Secretaries and Executive Administrative Assistants","Office and Administrative Support Occupations","Secretaries and Administrative Assistants","Secretaries and Administrative Assistants","Executive Secretaries and Executive Administrative Assistants",2022-02-02
"Detailed","43-6012","43-0000","43-6000","43-6010","43-6012","Legal Secretaries and Administrative Assistants","Office and Administrative Support Occupations","Secretaries and Administrative Assistants","Secretaries and Administrative Assistants","Legal Secretaries and Administrative Assistants",2022-02-02
"Detailed","43-6013","43-0000","43-6000","43-6010","43-6013","Medical Secretaries and Administrative Assistants","Office and Administrative Support Occupations","Secretaries and Administrative Assistants","Secretaries and Administrative Assistants","Medical Secretaries and Administrative Assistants",2022-02-02
"Detailed","43-6014","43-0000","43-6000","43-6010","43-6014","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Office and Administrative Support Occupations","Secretaries and Administrative Assistants","Secretaries and Administrative Assistants","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2022-02-02
"Minor","43-9000","43-0000","43-9000",NA,NA,"Other Office and Administrative Support Workers","Office and Administrative Support Occupations","Other Office and Administrative Support Workers",NA,NA,2022-02-02
"Broad","43-9020","43-0000","43-9000","43-9020",NA,"Data Entry and Information Processing Workers","Office and Administrative Support Occupations","Other Office and Administrative Support Workers","Data Entry and Information Processing Workers",NA,2022-02-02
"Detailed","43-9021","43-0000","43-9000","43-9020","43-9021","Data Entry Keyers","Office and Administrative Support Occupations","Other Office and Administrative Support Workers","Data Entry and Information Processing Workers","Data Entry Keyers",2022-02-02
"Detailed","43-9022","43-0000","43-9000","43-9020","43-9022","Word Processors and Typists","Office and Administrative Support Occupations","Other Office and Administrative Support Workers","Data Entry and Information Processing Workers","Word Processors and Typists",2022-02-02
"Broad","43-9030","43-0000","43-9000","43-9030",NA,"Desktop Publishers","Office and Administrative Support Occupations","Other Office and Administrative Support Workers","Desktop Publishers",NA,2022-02-02
"Detailed","43-9031","43-0000","43-9000","43-9030","43-9031","Desktop Publishers","Office and Administrative Support Occupations","Other Office and Administrative Support Workers","Desktop Publishers","Desktop Publishers",2022-02-02
"Broad","43-9040","43-0000","43-9000","43-9040",NA,"Insurance Claims and Policy Processing Clerks","Office and Administrative Support Occupations","Other Office and Administrative Support Workers","Insurance Claims and Policy Processing Clerks",NA,2022-02-02
"Detailed","43-9041","43-0000","43-9000","43-9040","43-9041","Insurance Claims and Policy Processing Clerks","Office and Administrative Support Occupations","Other Office and Administrative Support Workers","Insurance Claims and Policy Processing Clerks","Insurance Claims and Policy Processing Clerks",2022-02-02
"Broad","43-9050","43-0000","43-9000","43-9050",NA,"Mail Clerks and Mail Machine Operators, Except Postal Service","Office and Administrative Support Occupations","Other Office and Administrative Support Workers","Mail Clerks and Mail Machine Operators, Except Postal Service",NA,2022-02-02
"Detailed","43-9051","43-0000","43-9000","43-9050","43-9051","Mail Clerks and Mail Machine Operators, Except Postal Service","Office and Administrative Support Occupations","Other Office and Administrative Support Workers","Mail Clerks and Mail Machine Operators, Except Postal Service","Mail Clerks and Mail Machine Operators, Except Postal Service",2022-02-02
"Broad","43-9060","43-0000","43-9000","43-9060",NA,"Office Clerks, General","Office and Administrative Support Occupations","Other Office and Administrative Support Workers","Office Clerks, General",NA,2022-02-02
"Detailed","43-9061","43-0000","43-9000","43-9060","43-9061","Office Clerks, General","Office and Administrative Support Occupations","Other Office and Administrative Support Workers","Office Clerks, General","Office Clerks, General",2022-02-02
"Broad","43-9070","43-0000","43-9000","43-9070",NA,"Office Machine Operators, Except Computer","Office and Administrative Support Occupations","Other Office and Administrative Support Workers","Office Machine Operators, Except Computer",NA,2022-02-02
"Detailed","43-9071","43-0000","43-9000","43-9070","43-9071","Office Machine Operators, Except Computer","Office and Administrative Support Occupations","Other Office and Administrative Support Workers","Office Machine Operators, Except Computer","Office Machine Operators, Except Computer",2022-02-02
"Broad","43-9080","43-0000","43-9000","43-9080",NA,"Proofreaders and Copy Markers","Office and Administrative Support Occupations","Other Office and Administrative Support Workers","Proofreaders and Copy Markers",NA,2022-02-02
"Detailed","43-9081","43-0000","43-9000","43-9080","43-9081","Proofreaders and Copy Markers","Office and Administrative Support Occupations","Other Office and Administrative Support Workers","Proofreaders and Copy Markers","Proofreaders and Copy Markers",2022-02-02
"Broad","43-9110","43-0000","43-9000","43-9110",NA,"Statistical Assistants","Office and Administrative Support Occupations","Other Office and Administrative Support Workers","Statistical Assistants",NA,2022-02-02
"Detailed","43-9111","43-0000","43-9000","43-9110","43-9111","Statistical Assistants","Office and Administrative Support Occupations","Other Office and Administrative Support Workers","Statistical Assistants","Statistical Assistants",2022-02-02
"Broad","43-9190","43-0000","43-9000","43-9190",NA,"Miscellaneous Office and Administrative Support Workers","Office and Administrative Support Occupations","Other Office and Administrative Support Workers","Miscellaneous Office and Administrative Support Workers",NA,2022-02-02
"Detailed","43-9199","43-0000","43-9000","43-9190","43-9199","Office and Administrative Support Workers, All Other","Office and Administrative Support Occupations","Other Office and Administrative Support Workers","Miscellaneous Office and Administrative Support Workers","Office and Administrative Support Workers, All Other",2022-02-02
"Major","45-0000","45-0000",NA,NA,NA,"Farming, Fishing, and Forestry Occupations","Farming, Fishing, and Forestry Occupations",NA,NA,NA,2022-02-02
"Minor","45-1000","45-0000","45-1000",NA,NA,"Supervisors of Farming, Fishing, and Forestry Workers","Farming, Fishing, and Forestry Occupations","Supervisors of Farming, Fishing, and Forestry Workers",NA,NA,2022-02-02
"Broad","45-1010","45-0000","45-1000","45-1010",NA,"First-Line Supervisors of Farming, Fishing, and Forestry Workers","Farming, Fishing, and Forestry Occupations","Supervisors of Farming, Fishing, and Forestry Workers","First-Line Supervisors of Farming, Fishing, and Forestry Workers",NA,2022-02-02
"Detailed","45-1011","45-0000","45-1000","45-1010","45-1011","First-Line Supervisors of Farming, Fishing, and Forestry Workers","Farming, Fishing, and Forestry Occupations","Supervisors of Farming, Fishing, and Forestry Workers","First-Line Supervisors of Farming, Fishing, and Forestry Workers","First-Line Supervisors of Farming, Fishing, and Forestry Workers",2022-02-02
"Minor","45-2000","45-0000","45-2000",NA,NA,"Agricultural Workers","Farming, Fishing, and Forestry Occupations","Agricultural Workers",NA,NA,2022-02-02
"Broad","45-2010","45-0000","45-2000","45-2010",NA,"Agricultural Inspectors","Farming, Fishing, and Forestry Occupations","Agricultural Workers","Agricultural Inspectors",NA,2022-02-02
"Detailed","45-2011","45-0000","45-2000","45-2010","45-2011","Agricultural Inspectors","Farming, Fishing, and Forestry Occupations","Agricultural Workers","Agricultural Inspectors","Agricultural Inspectors",2022-02-02
"Broad","45-2020","45-0000","45-2000","45-2020",NA,"Animal Breeders","Farming, Fishing, and Forestry Occupations","Agricultural Workers","Animal Breeders",NA,2022-02-02
"Detailed","45-2021","45-0000","45-2000","45-2020","45-2021","Animal Breeders","Farming, Fishing, and Forestry Occupations","Agricultural Workers","Animal Breeders","Animal Breeders",2022-02-02
"Broad","45-2040","45-0000","45-2000","45-2040",NA,"Graders and Sorters, Agricultural Products","Farming, Fishing, and Forestry Occupations","Agricultural Workers","Graders and Sorters, Agricultural Products",NA,2022-02-02
"Detailed","45-2041","45-0000","45-2000","45-2040","45-2041","Graders and Sorters, Agricultural Products","Farming, Fishing, and Forestry Occupations","Agricultural Workers","Graders and Sorters, Agricultural Products","Graders and Sorters, Agricultural Products",2022-02-02
"Broad","45-2090","45-0000","45-2000","45-2090",NA,"Miscellaneous Agricultural Workers","Farming, Fishing, and Forestry Occupations","Agricultural Workers","Miscellaneous Agricultural Workers",NA,2022-02-02
"Detailed","45-2091","45-0000","45-2000","45-2090","45-2091","Agricultural Equipment Operators","Farming, Fishing, and Forestry Occupations","Agricultural Workers","Miscellaneous Agricultural Workers","Agricultural Equipment Operators",2022-02-02
"Detailed","45-2092","45-0000","45-2000","45-2090","45-2092","Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Farming, Fishing, and Forestry Occupations","Agricultural Workers","Miscellaneous Agricultural Workers","Farmworkers and Laborers, Crop, Nursery, and Greenhouse",2022-02-02
"Detailed","45-2093","45-0000","45-2000","45-2090","45-2093","Farmworkers, Farm, Ranch, and Aquacultural Animals","Farming, Fishing, and Forestry Occupations","Agricultural Workers","Miscellaneous Agricultural Workers","Farmworkers, Farm, Ranch, and Aquacultural Animals",2022-02-02
"Detailed","45-2099","45-0000","45-2000","45-2090","45-2099","Agricultural Workers, All Other","Farming, Fishing, and Forestry Occupations","Agricultural Workers","Miscellaneous Agricultural Workers","Agricultural Workers, All Other",2022-02-02
"Minor","45-3000","45-0000","45-3000",NA,NA,"Fishing and Hunting Workers","Farming, Fishing, and Forestry Occupations","Fishing and Hunting Workers",NA,NA,2022-02-02
"Broad","45-3030","45-0000","45-3000","45-3030",NA,"Fishing and Hunting Workers","Farming, Fishing, and Forestry Occupations","Fishing and Hunting Workers","Fishing and Hunting Workers",NA,2022-02-02
"Detailed","45-3031","45-0000","45-3000","45-3030","45-3031","Fishing and Hunting Workers","Farming, Fishing, and Forestry Occupations","Fishing and Hunting Workers","Fishing and Hunting Workers","Fishing and Hunting Workers",2022-02-02
"Minor","45-4000","45-0000","45-4000",NA,NA,"Forest, Conservation, and Logging Workers","Farming, Fishing, and Forestry Occupations","Forest, Conservation, and Logging Workers",NA,NA,2022-02-02
"Broad","45-4010","45-0000","45-4000","45-4010",NA,"Forest and Conservation Workers","Farming, Fishing, and Forestry Occupations","Forest, Conservation, and Logging Workers","Forest and Conservation Workers",NA,2022-02-02
"Detailed","45-4011","45-0000","45-4000","45-4010","45-4011","Forest and Conservation Workers","Farming, Fishing, and Forestry Occupations","Forest, Conservation, and Logging Workers","Forest and Conservation Workers","Forest and Conservation Workers",2022-02-02
"Broad","45-4020","45-0000","45-4000","45-4020",NA,"Logging Workers","Farming, Fishing, and Forestry Occupations","Forest, Conservation, and Logging Workers","Logging Workers",NA,2022-02-02
"Detailed","45-4021","45-0000","45-4000","45-4020","45-4021","Fallers","Farming, Fishing, and Forestry Occupations","Forest, Conservation, and Logging Workers","Logging Workers","Fallers",2022-02-02
"Detailed","45-4022","45-0000","45-4000","45-4020","45-4022","Logging Equipment Operators","Farming, Fishing, and Forestry Occupations","Forest, Conservation, and Logging Workers","Logging Workers","Logging Equipment Operators",2022-02-02
"Detailed","45-4023","45-0000","45-4000","45-4020","45-4023","Log Graders and Scalers","Farming, Fishing, and Forestry Occupations","Forest, Conservation, and Logging Workers","Logging Workers","Log Graders and Scalers",2022-02-02
"Detailed","45-4029","45-0000","45-4000","45-4020","45-4029","Logging Workers, All Other","Farming, Fishing, and Forestry Occupations","Forest, Conservation, and Logging Workers","Logging Workers","Logging Workers, All Other",2022-02-02
"Major","47-0000","47-0000",NA,NA,NA,"Construction and Extraction Occupations","Construction and Extraction Occupations",NA,NA,NA,2022-02-02
"Minor","47-1000","47-0000","47-1000",NA,NA,"Supervisors of Construction and Extraction Workers","Construction and Extraction Occupations","Supervisors of Construction and Extraction Workers",NA,NA,2022-02-02
"Broad","47-1010","47-0000","47-1000","47-1010",NA,"First-Line Supervisors of Construction Trades and Extraction Workers","Construction and Extraction Occupations","Supervisors of Construction and Extraction Workers","First-Line Supervisors of Construction Trades and Extraction Workers",NA,2022-02-02
"Detailed","47-1011","47-0000","47-1000","47-1010","47-1011","First-Line Supervisors of Construction Trades and Extraction Workers","Construction and Extraction Occupations","Supervisors of Construction and Extraction Workers","First-Line Supervisors of Construction Trades and Extraction Workers","First-Line Supervisors of Construction Trades and Extraction Workers",2022-02-02
